2019/10/13 14:12:37.306 [I] [SeoModel.go:104]  [2019-10-13 14:12:37]更新站点地图[start]
2019/10/15 20:00:16.293 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 20:00:18.016 [D] [Utils.go:314]  store信息：%!(EXTRA string=&{Id:9 Md5:a214c827b54470bb6f626a1689ea99fa Ext:doc ExtCate:word ExtNum:1 Page:5 PreviewPage:0 Size:62030 ModTime:1571140810 PreviewExt:svg Width:0 Height:0})
2019/10/15 20:00:18.312 [E] [Utils.go:376]  exec: "convert": executable file not found in $PATH
2019/10/15 20:00:18.312 [E] [Utils.go:382]  open /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/15/1/1-1571140810444322000-/1.svg.jpg: no such file or directory
2019/10/15 20:00:31.965 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 21:57:50.133 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/15 21:57:58.262 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/16 07:53:20.769 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/16 07:53:29.313 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/16 07:53:35.712 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/16 07:53:35.712 [D] [Models.go:363]  select d.Title,d.Description,ds.Page,ds.Size,ds.ExtCate,ds.Md5,i.Score,i.TimeCreate,i.Id,i.Dcnt,i.Vcnt,i.Price from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 10 offset 0%!(EXTRA string=学)
2019/10/16 07:54:17.694 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/16 07:54:17.694 [D] [Models.go:363]  select i.Score,i.TimeCreate,i.Id,i.Dcnt,i.Vcnt,i.Price,d.Title,d.Description,ds.Page,ds.Size,ds.ExtCate,ds.Md5 from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    order by i.Ccnt desc limit 10 offset 0%!(EXTRA string=学)
2019/10/16 07:54:18.984 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=6   limit 100000000 offset 0
2019/10/16 07:54:19.658 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=5   limit 100000000 offset 0
2019/10/16 07:54:20.365 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=3   limit 100000000 offset 0
2019/10/16 07:54:21.066 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=2   limit 100000000 offset 0
2019/10/16 07:54:21.745 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=2   limit 100000000 offset 0
2019/10/16 07:54:22.266 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=1   limit 100000000 offset 0
2019/10/16 07:54:22.266 [D] [Models.go:363]  select ds.Page,ds.Size,ds.ExtCate,ds.Md5,i.Score,i.TimeCreate,i.Id,i.Dcnt,i.Vcnt,i.Price,d.Title,d.Description from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=1   limit 10 offset 0%!(EXTRA string=学)
2019/10/16 07:54:22.660 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?  and ds.ExtNum=4   limit 100000000 offset 0
2019/10/16 07:54:23.108 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/16 07:54:23.108 [D] [Models.go:363]  select d.Title,d.Description,ds.Page,ds.Size,ds.ExtCate,ds.Md5,i.Score,i.TimeCreate,i.Id,i.Dcnt,i.Vcnt,i.Price from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 10 offset 0%!(EXTRA string=学)
2019/10/16 07:54:23.660 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/16 07:54:23.660 [D] [Models.go:363]  select ds.Page,ds.Size,ds.ExtCate,ds.Md5,i.Score,i.TimeCreate,i.Id,i.Dcnt,i.Vcnt,i.Price,d.Title,d.Description from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 10 offset 0%!(EXTRA string=学)
2019/10/16 08:40:46.563 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/16 08:41:06.048 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/16 08:41:06.048 [D] [Models.go:363]  select i.Score,i.TimeCreate,i.Id,i.Dcnt,i.Vcnt,i.Price,d.Title,d.Description,ds.Page,ds.Size,ds.ExtCate,ds.Md5 from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 10 offset 0%!(EXTRA string=学)
2019/10/16 19:09:55.711 [D] [Utils.go:314]  store信息：%!(EXTRA string=&{Id:10 Md5:f347e5b96887481df7fb9ea05232cd61 Ext:docx ExtCate:word ExtNum:1 Page:1 PreviewPage:0 Size:121577 ModTime:1571224184 PreviewExt:svg Width:0 Height:0})
2019/10/16 19:09:56.093 [E] [Utils.go:376]  exec: "convert": executable file not found in $PATH
2019/10/16 19:09:56.093 [E] [Utils.go:382]  open /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/16/1/1-1571224184942856000-/1.svg.jpg: no such file or directory
2019/10/16 19:11:06.731 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/16 19:12:02.056 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/16 19:12:02.056 [D] [Models.go:363]  select i.Score,i.TimeCreate,i.Id,i.Dcnt,i.Vcnt,i.Price,d.Title,d.Description,ds.Page,ds.Size,ds.ExtCate,ds.Md5 from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 10 offset 0%!(EXTRA string=罗先)
2019/10/16 19:12:30.925 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/22 20:06:49.901 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/23 20:52:29.181 [D] [Models.go:353]  统计SQL:select count(d.Id) cnt from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 100000000 offset 0
2019/10/23 20:52:29.181 [D] [Models.go:363]  select i.Score,i.TimeCreate,i.Id,i.Dcnt,i.Vcnt,i.Price,d.Title,d.Description,ds.Page,ds.Size,ds.ExtCate,ds.Md5 from hc_document_info i left join hc_document d on i.Id=d.Id left join hc_document_store ds on i.DsId=ds.Id  where  i.Status>=0 and d.Title like ?    limit 10 offset 0%!(EXTRA string=学)
2019/10/23 20:52:31.483 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/23 20:52:34.565 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/23 20:57:19.225 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/23 20:58:04.777 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/23 20:58:18.737 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/23 21:09:27.644 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
2019/10/23 21:09:33.102 [D] [Utils.go:314]  store信息：%!(EXTRA string=&{Id:11 Md5:3e7289fb06c9cb7ae8f272ff46b8c863 Ext:doc ExtCate:word ExtNum:1 Page:16 PreviewPage:0 Size:69120 ModTime:1571836162 PreviewExt:svg Width:0 Height:0})
2019/10/23 21:09:33.404 [E] [Utils.go:376]  exec: "convert": executable file not found in $PATH
2019/10/23 21:09:33.404 [E] [Utils.go:382]  open /Users/luoxianjie/go/src/DocHKJ/uploads/2019/10/23/1/1-1571836162524669000-/1.svg.jpg: no such file or directory
2019/10/23 21:09:34.818 [D] [DocumentModel.go:200]  查询字段：map[doc:[Id Title Filename Keywords Description] ds:[Md5 Ext ExtCate ExtNum Page PreviewPage Size ModTime PreviewExt Width Height] info:[Id DsId Uid ChanelId Pid Cid TimeCreate TimeUpdate Dcnt Vcnt Ccnt Score ScorePeople Price Status] u:[Username Id Uid]]
